브랜드명,총건수,지점명비율,표기변형목록,대표주소예시,판정,판정근거,경계사례
현대사,10,0.00,,부산광역시 부산진구 중앙대로 지하717 (부전동),제외,빈도 10·지점비율 0% <40% → 일반상호 제외,Y
명가,10,0.00,,부산광역시 해운대구 좌동로 99-9 (좌동),제외,빈도 10·지점비율 0% <40% → 일반상호 제외,Y
싱싱청과,10,0.00,,부산광역시 북구 낙동대로1762번가길 46(구포동),제외,빈도 10·지점비율 0% <40% → 일반상호 제외,Y
하나축산,10,0.00,,부산광역시 북구 구포시장길 33 (구포동),제외,빈도 10·지점비율 0% <40% → 일반상호 제외,Y
청해수산,10,0.00,,부산광역시 동래구 사직북로28번길 63-4(사직동),제외,빈도 10·지점비율 0% <40% → 일반상호 제외,Y
오복떡집,10,0.00,,대구광역시 달서구 송현동길 18(송현동),제외,빈도 10·지점비율 0% <40% → 일반상호 제외,Y
중앙청과,10,0.00,,경기도 오산시 성호대로 79 (오산동),제외,빈도 10·지점비율 0% <40% → 일반상호 제외,Y
펀비어킹,10,0.30,,경기도 용인시 처인구 이동읍 백옥대로 611,제외,빈도 10·지점비율 30% <40% → 일반상호 제외,Y
하모니마트,10,0.30,,경기도 용인시 기흥구 한보라2로 9 (보라동),제외,빈도 10·지점비율 30% <40% → 일반상호 제외,Y
인천수산,10,0.00,,경기도 시흥시 오이도로 173(정왕동),제외,빈도 10·지점비율 0% <40% → 일반상호 제외,Y
고려왕족발,10,0.00,,인천광역시 미추홀구 신기길29번길 24(주안동),제외,빈도 10·지점비율 0% <40% → 일반상호 제외,Y
홍두깨칼국수,10,0.00,,인천광역시 남동구 호구포로800번길 19 (구월동),제외,빈도 10·지점비율 0% <40% → 일반상호 제외,Y
장수건강원,9,0.00,,부산광역시 사하구 장림시장5길 126(장림동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
한양왕족발,9,0.00,,부산광역시 사하구 다대로142번길 9 (신평동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
오복식당,9,0.00,,부산광역시 사하구 다대로142번길 35 (신평동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
부영상회,9,0.00,,부산광역시 영도구 남항로49번길 14(영선동2가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
바다횟집,9,0.00,,부산광역시 영도구 절영로43번길 62-1(영선동2가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
완도수산,9,0.00,,부산광역시 영도구 절영로43번길 65 (영선동2가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
속옷나라,9,0.00,,부산광역시 사하구 낙동대로535번길 37(하단동),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
스마일,9,0.00,,부산광역시 중구 중구로43번길 33 (부평동2가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
대우상회,9,0.00,,부산광역시 중구 중구로43번길 27 (부평동2가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
천일상회,9,0.00,,부산광역시 중구 부평2길 26(부평동1가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
다인,9,0.00,,부산광역시 중구 부평2길 6(부평동1가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
진흥상회,9,0.00,,부산광역시 서구 충무시장길 51-4(충무동1가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
동양상회,9,0.00,,부산광역시 서구 새벽시장길 45(충무동1가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
티파니,9,0.00,,부산광역시 중구 중구로24번길 12(창선동2가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
장수상회,9,0.00,,부산광역시 서구 충무대로256번길 7 (충무동1가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
토탈패션,9,0.00,,부산광역시 중구 중구로30번길 15(신창동2가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
광진상회,9,0.00,,부산광역시 중구 자갈치로 42(남포동5가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
고성상회,9,0.00,,부산광역시 중구 자갈치로 55-1(남포동5가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
부전상회,9,0.00,,부산광역시 중구 자갈치해안로 52(남포동4가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
강남상회,9,0.00,,부산광역시 중구 자갈치해안로 52 (남포동4가),제외,빈도 9·지점비율 0% <40% → 일반상호 제외,Y
