브랜드명,총건수,지점명비율,표기변형목록,대표주소예시,판정,판정근거,경계사례
이공커피,8,1.00,,서울특별시 은평구 응암로12길 5-1 (응암동),브랜드,빈도 8·지점비율 100% ≥40% → 브랜드 확정,Y
본도시락,8,1.00,,서울특별시 서대문구 이화여대5길 15 (대현동),브랜드,빈도 8·지점비율 100% ≥40% → 브랜드 확정,Y
커스텀커피,8,0.88,,인천광역시 연수구 하모니로 158(송도동),브랜드,빈도 8·지점비율 88% ≥40% → 브랜드 확정,Y
보그헤어,8,0.62,,인천광역시 부평구 시장로 19 (부평동),브랜드,빈도 8·지점비율 62% ≥40% → 브랜드 확정,Y
하남돼지집,8,1.00,,인천광역시 부평구 시장로12번길 21(부평동),브랜드,빈도 8·지점비율 100% ≥40% → 브랜드 확정,Y
옥된장,7,0.86,,서울특별시 중구 퇴계로44길 34 (필동2가),브랜드,빈도 7·지점비율 86% ≥40% → 브랜드 확정,Y
초록마을,7,1.00,,서울특별시 중구 청구로 64(신당동),브랜드,빈도 7·지점비율 100% ≥40% → 브랜드 확정,Y
일품양평해장국,7,0.86,,서울특별시 중구 퇴계로85길 22 (황학동),브랜드,빈도 7·지점비율 86% ≥40% → 브랜드 확정,Y
호주면세점,7,1.00,,서울특별시 용산구 새창로14길 48 (용문동),브랜드,빈도 7·지점비율 100% ≥40% → 브랜드 확정,Y
인생닭강정,7,0.43,,서울특별시 성동구 용답19길 15 (용답동),브랜드,빈도 7·지점비율 43% ≥40% → 브랜드 확정,Y
총각네정육점,7,1.00,,서울특별시 광진구 능동로47길 15-1(중곡동),브랜드,빈도 7·지점비율 100% ≥40% → 브랜드 확정,Y
형제정육점,7,1.00,,서울특별시 동대문구 고산자로36길 3(제기동),브랜드,빈도 7·지점비율 100% ≥40% → 브랜드 확정,Y
도야짬뽕,7,1.00,,서울특별시 중랑구 봉화산로56길 83 (신내동),브랜드,빈도 7·지점비율 100% ≥40% → 브랜드 확정,Y
포케올데이,7,1.00,,서울특별시 강북구 도봉로87길 6 (수유동),브랜드,빈도 7·지점비율 100% ≥40% → 브랜드 확정,Y
이두부야,7,0.71,,서울특별시 강북구 숭인로 73 (미아동),브랜드,빈도 7·지점비율 71% ≥40% → 브랜드 확정,Y
배떡,7,1.00,,서울특별시 노원구 공릉로 153 (공릉동),브랜드,빈도 7·지점비율 100% ≥40% → 브랜드 확정,Y
샐러리아,7,1.00,,서울특별시 노원구 노원로1길 67 (공릉동),브랜드,빈도 7·지점비율 100% ≥40% → 브랜드 확정,Y
화포식당,7,0.43,,서울특별시 노원구 노원로1길 67 (공릉동),브랜드,빈도 7·지점비율 43% ≥40% → 브랜드 확정,Y
록갈비,7,0.86,,서울특별시 은평구 연서로29길 30-18 (갈현동),브랜드,빈도 7·지점비율 86% ≥40% → 브랜드 확정,Y
신발백화점,7,1.00,,서울특별시 마포구 토정로 221 (신수동),브랜드,빈도 7·지점비율 100% ≥40% → 브랜드 확정,Y
크로커다일레이디,7,0.43,,서울특별시 강서구 강서로 52 (화곡동),브랜드,빈도 7·지점비율 43% ≥40% → 브랜드 확정,Y
바른정육점,7,1.00,,서울특별시 구로구 경인로35길 8 (개봉동),브랜드,빈도 7·지점비율 100% ≥40% → 브랜드 확정,Y
글라스타,7,0.57,,서울특별시 동작구 사당로 235 (사당동),브랜드,빈도 7·지점비율 57% ≥40% → 브랜드 확정,Y
하삼동커피,7,0.86,,서울특별시 강남구 삼성로 212 (대치동),브랜드,빈도 7·지점비율 86% ≥40% → 브랜드 확정,Y
명랑부대찌개,7,0.57,,서울특별시 송파구 풍성로25길 42 (풍납동),브랜드,빈도 7·지점비율 57% ≥40% → 브랜드 확정,Y
레드페이스,7,0.71,,서울특별시 송파구 동남로 114(문정동),브랜드,빈도 7·지점비율 71% ≥40% → 브랜드 확정,Y
디스커버리,7,0.43,,인천광역시 중구 개항로 39(내동),브랜드,빈도 7·지점비율 43% ≥40% → 브랜드 확정,Y
샤트렌,7,0.43,,인천광역시 남동구 구월로276번길 39 (구월동),브랜드,빈도 7·지점비율 43% ≥40% → 브랜드 확정,Y
하이오커피,7,0.86,,경기도 수원시 장안구 조원로112번길 33 (조원동),브랜드,빈도 7·지점비율 86% ≥40% → 브랜드 확정,Y
블랙야크,7,0.57,,경기도 수원시 팔달구 정조로 764 (팔달로3가),브랜드,빈도 7·지점비율 57% ≥40% → 브랜드 확정,Y
GS더프레시,7,1.00,GS THE FRESH; 지에스 더프레시; 지에스더프레시,경기도 수원시 권선구 동수원로177번길 40 (권선동),브랜드,빈도 7·지점비율 100% ≥40% → 브랜드 확정,Y
